Disease Name,Symptoms
Lumbar stenosis," Symptoms like aching, cramping, tingling, heaviness and occasional weakness in the legs are usually brought on by walking or standing. They can be eased by sitting or leaning forward.
Patients with lumbar stenosis can also have back pain. However, low back pain with no leg symptoms is usually not thought to be caused by stenosis.  
Lumbar stenosis is a long term condition, and symptoms are often variable from day to day.  Many patients have found that managing their symptoms can help improve their quality of life. 
In order for lumbar stenosis to be diagnosed you’ll need an assessment from a healthcare professional.
They’ll ask you questions about your back issue and then carry out a physical examination. This may include checking your range of movement and strength.
You may sometimes need to have a further examination to rule out other possible health conditions.
As we get older, aging in the spine can cause narrowing and a reduction of space for the spinal nerves leading to irritation. Even then, nerves are resilient and can learn how to cope with this narrower tunnel.  
Clinicians may call the condition “central stenosis” or “foraminal stenosis”, depending on where the changes in your spine have happened.  
Rarely spinal stenosis can cause a condition called Cauda Equina Syndrome to develop. This is a rare but serious back condition which can lead to permanent damage or disability. If you develop this condition you’ll need to be seen by an emergency specialist spinal team.
Many people can cope with their stenosis with a combination of time, modifying activity, and pacing themselves to allow the nerves to adapt.
If your symptoms are relieved by bending or leaning forward, many people find it helpful to have regular breaks when walking like taking a seat or leaning against a wall. If you’re struggling with your walking it may be helpful to talk to a healthcare professional about a walking aid or support.
Pain medication, staying active, and gentle exercise may also help.
The following can help to reduce the pain:

pain medication – this can help you move more comfortably, which can help your recovery
heat or ice packs

More about taking painkillers.
In some cases, surgery may be an option if symptoms are not improving and all other treatment options have been tried. The operation, called spinal decompression, involves reducing the pressure on the nerves affected by stenosis.
A back problem can sometimes mean you need to take some time off work to help recovery. How long you’re off will depend on the nature of your condition and your role at work.
You do not need to be symptom free before you consider returning to work. Continuing to go to work, or returning to work as soon as is possible for you, will help your recovery. Gradually getting back to your normal daily activities can help to build up your strength and stamina levels.
Following this advice, you should see gradual improvements over time.
You should see the biggest change in your symptoms within the first couple of weeks. Most problems should have improved within 6 weeks.
If your back problem hasn’t improved within 6 weeks of following this advice, or if your symptoms get worse at any time, talk to a healthcare professional about your symptoms.
How to access MSK services in your area
When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery."
Lung cancer,"Symptoms of lung cancer develop as the condition progresses and there are usually no signs or symptoms in the early stages.
The main symptoms of lung cancer are:

a cough that doesn’t go away after 2 or 3 weeks
a long-standing cough that gets worse
persistent chest infections
coughing up blood
an ache or pain when breathing or coughing
persistent breathlessness
persistent tiredness or lack of energy
loss of appetite or unexplained weight loss

Less common symptoms of lung cancer include:

changes in the appearance of your fingers, such as becoming more curved or their ends becoming larger (this is known as finger clubbing)
a high temperature (fever) of 38C (100.4F) or above 
difficulty swallowing or pain when swallowing
wheezing
a hoarse voice 
swelling of your face or neck
persistent chest or shoulder pain

If you have any of these, you should speak to your GP.
Read further information:

Cancer Research UK: Symptoms of lung cancer
Macmillan Cancer Support: Signs and Symptoms of lung cancer 
"
Lupus,
Lyme disease,
Lymphoedema,"The main symptom of lymphoedema is swelling in all or part of a limb or another part of the body, which can cause problems fitting into clothes, or jewellery and watches starting to feel tight.
At first, the swelling may come and go. It may get worse during the day and then go down overnight. Without treatment, it will usually become more severe and persistent.
Other symptoms in an affected body part can include:

an aching, heavy feeling
difficulty with movement
repeated skin infections
the skin becoming hard and tight
folds developing in the skin
wart-like growths developing on the skin
a leakage of fluid through the skin

When these symptoms start depends on what is causing the condition.
If lymphoedema is caused by abnormal development of the lymphatic system (a network of channels and glands distributed throughout the body that remove unwanted bacteria and particles from the body), the symptoms can develop at any age, but most commonly start during infancy, adolescence or early adulthood.
In these cases, the swelling may start on one side of the body to begin with, although the other side will usually become swollen as well over time – particularly the lower leg.
If lymphoedema is caused by damage to the lymphatic system, the symptoms can develop at any time. For example, if your lymphatic system is damaged due to treatment for breast cancer, lymphoedema may not develop for several months or even years.
Read more about the causes of lymphoedema
If you are at risk of developing lymphoedema because you have had treatment for cancer, you may be offered an assessment for the condition as part of your treatment aftercare plan. Speak to your consultant or specialist nurse if you have any concerns.
If you think you may have lymphoedema, but not as a result of treatment for cancer, see your GP.
Read more about diagnosing lymphoedema"
Lymphogranuloma venereum (LGV),"Most people with LGV don’t notice any symptoms and don’t know they have it. So it’s important to get tested if you think you’re infected.
If you do develop symptoms, you may experience:

swollen lymph glands in the groin (in one or both sides)
an ulcer or sore on the penis, vagina or around the anus

You may notice some anal symptoms such as:

blood or pus from the anus on underwear or toilet paper
pain in the anal area when pooing or having receptive anal sex
constipation, painful straining or diarrhoea when trying to poo
a feeling of incomplete emptying after pooing

If you think you might have LGV, get tested for free by:

booking an appointment at your local sexual health service
contacting your GP practice for an appointment

If you test positive for chlamydia, and your symptoms suggest that you might have LGV, the lab will do a further test for LGV.
The test for LGV is simple, painless and very reliable. It involves sending a sample from the area of the body thought to be infected to a lab for analysis. This can take up to 3 weeks.
The 2 main ways the sample can be collected are:

using a swab – a small cotton bud is gently wiped over the area that might be infected, such as inside the vagina, throat, or inside the anus
urine sample – this should ideally be done at least 1 or 2 hours after you last peed

Your partner (s) for the past 3 months should also be tested for LGV.
Antibiotics will treat the LGV infection.
The result of the LGV test can take 3 weeks to come back, so your doctor may advise you to start treatment before the final result is available.
If left untreated, LGV can cause scarring and swelling of the skin. It can also cause permanent swelling of the genitals. Rectal infection can also cause swelling and scarring resulting in the risk of long-term bowel complications. Rarely the infection may spread via the bloodstream causing inflammation of the joints or liver.
To avoid passing LGV on to your partner(s) you should avoid having sex until both you and your partner have finished your treatment.
You can get LGV by having unprotected vaginal, anal or oral sex (sex without a condom).
Your risk of getting LGV may be increased by:

chemsex
having group sex
fisting
sharing sex toys that aren’t washed or covered with a new condom each time they’re used

The best way to reduce your risk of STIs is to practice safer sex. This means using a condom for vaginal, anal and oral sex.
If you have been diagnosed with LGV you should get tested for all STIs including:

gonorrhoea
syphilis
HIV
"
Malaria,"It’s important to be aware of the symptoms of malaria if you’re travelling to areas where there’s a high risk of the disease. This means that you can get medical attention quickly.
Symptoms are similar to those of flu and usually appear 6 to 30 days after the mosquito bite, but it can sometimes take up to a year for symptoms to start.
The initial symptoms of malaria include:

a high temperature (fever)
headache
sweats
chills
muscle aches or pains
vomiting and or diarrhoea

These symptoms can start mild and may be difficult to identify as malaria.
Malaria is a serious illness that can get worse very quickly. It can be fatal if not treated quickly.
The effects of malaria are usually more severe in:

babies
young children
pregnant women
older people

Malaria is caused by the Plasmodium parasite. The parasite is spread to humans through the bites of infected mosquitoes.
There are 5 different types of Plasmodium parasite that cause malaria in humans. They are found in different parts of the world (but do overlap in certain areas) and vary in terms of how severe the infection can be.
All malaria infections cause the same symptoms and require immediate medical attention. It’s not possible to find out which type of malaria you have from symptoms alone.
The Plasmodium parasite is spread by mosquitoes. These are known as ‘night-biting’ mosquitoes because they most commonly bite between sunset and sunrise.
When a mosquito bites a person already infected with malaria, it becomes infected and spreads the parasite to the next person it bites. Malaria can’t be spread directly from person to person.
When an infected mosquito bites, the parasite enters the blood and travels to the liver. In the liver, it develops for days to weeks before re-entering the blood. This is the point where symptoms develop and urgent treatment is required.
Although it is very rare, malaria can also be spread from a person with the infection through blood transfusions and sharing needles.
Malaria is found in tropical and subtropical regions of the world. It is not found in the UK or Europe.
The fitfortravel website has more information about the risk of malaria in individual countries.
Malaria is a serious illness that can be fatal if not diagnosed and treated quickly. Severe complications of malaria can occur within hours or days of the first symptoms. This means it is important to seek urgent medical help as soon as possible.
The destruction of red blood cells by the malaria parasite can cause severe anaemia.
Anaemia is a condition where the red blood cells are unable to carry enough oxygen to the body’s muscles and organs. This can leave you feeling drowsy, weak and faint.
In rare cases, malaria can affect the brain. This is known as cerebral malaria which can cause your brain to swell, sometimes leading to permanent brain damage. It can also cause fits (seizures) or coma.
Other complications that can arise as a result of severe malaria include:

liver failure and jaundice – yellowing of the skin and whites of the eyes
shock – a sudden drop in blood pressure
pulmonary oedema – a build-up of fluid in the lungs
acute respiratory distress syndrome (ARDS)
abnormally low blood sugar – hypoglycaemia
kidney failure
swelling and rupturing of the spleen
dehydration

If you get malaria while pregnant, you and your baby have an increased risk of developing serious complications like:

premature birth – birth before 37 weeks of pregnancy
low birth weight
restricted growth of the baby in the womb
stillbirth
miscarriage
death of the mother

Pregnant women are advised to avoid travelling to regions with a risk of malaria."
Malignant brain tumour (cancerous),"Different areas of the brain control different functions, so the symptoms caused by a brain tumour will depend on where the tumour is located. For example, a tumour affecting:

the frontal lobe may cause changes in personality, weakness in one side of the body and loss of smell
the temporal lobe may cause forgetfulness, language problems (aphasia) and seizures
the parietal lobe may cause aphasia and numbness or weakness in one side of the body
the occipital lobe may cause loss of vision on one side
the cerebellum may cause a loss of co-ordination, flickering of the eyes, vomiting and a stiff neck
the brain stem may cause unsteadiness and difficulty walking, facial weakness, double vision, and difficulty speaking (dysarthria) and swallowing (dysphagia)

It’s important to speak to a doctor if you develop persistent and worrying symptoms that may be caused by a brain tumour. While it’s unlikely that you have a tumour, it’s best to be sure by getting a proper diagnosis.
If your GP is unable to identify a more likely cause of your symptoms, they may refer you to a neurologist for further assessment and tests, such as a brain scan.
Read more about diagnosing malignant brain tumours."
Malnutrition,
Managing genital symptoms,
Measles,"The first symptoms of measles develop around 10 days after you’re infected. These can include:

cold-like symptoms, such as a runny nose, sneezing, and a cough
sore, red eyes that may be sensitive to light
watery eyes
swollen eyes
a high temperature (fever), which may reach around 40°C (104°F)
small greyish-white spots in the mouth
aches and pains
loss of appetite
tiredness, irritability and a general lack of energy

The measles rash appears around 2 to 4 days after the initial symptoms and normally fades after about a week. The rash:

is made up of small red-brown, flat or slightly raised spots that may join together into larger blotchy patches
usually first appears on the head or neck, before spreading outwards to the rest of the body
is slightly itchy for some people

You should phone your GP first before visiting. They can make arrangements to reduce the risk of spreading the infection to others.
Measles can be unpleasant, but will usually pass in about 7 to 10 days without causing any further problems.
Once you’ve had measles, your body builds up resistance (immunity) to the virus. It’s highly unlikely you’ll get it again.
However, measles can lead to serious and potentially life-threatening complications in some people. These include infections of the lungs (pneumonia) and brain (encephalitis).
The measles virus is contained in tiny droplets that come out of the nose and mouth when an infected person coughs or sneezes.
You can easily catch measles by breathing in these droplets. Or, if the droplets have settled on a surface, by touching the surface and then placing your hands near your nose or mouth. The virus can survive on surfaces for a few hours.
People with measles are infectious from when the symptoms develop until about 4 days after the rash first appears.
If you have measles:

stay off school or work for at least 4 days from when the rash first appears
regularly wash your hands with soap
use and dispose of tissues when you sneeze
avoid close contact with anyone who isn’t fully vaccinated

Measles can be prevented by having the MMR vaccine.
This is given in 2 doses as part of the NHS childhood vaccination programme.
You can be vaccinated at any age if you haven’t been fully vaccinated before. 
If the MMR vaccine isn’t suitable for you, a treatment called human normal immunoglobulin (HNIG) can be used if you’re at immediate risk of catching measles.
There are things you can do to help relieve your symptoms.
In severe cases, especially if there are complications, you or your child may need to be admitted to hospital for treatment."
Meningitis,"Symptoms of meningitis develop suddenly and can include:

a high temperature (fever) over 37.5C (99.5F)
being sick
a headache
a blotchy rash that doesn’t fade when a glass is rolled over it (this won’t always develop)
a stiff neck
a dislike of bright lights
drowsiness or unresponsiveness
seizures (fits)

These symptoms can appear in any order and some may not appear.
You should get medical advice as soon as possible if you’re concerned that you or your child could have meningitis.
Trust your instincts and don’t wait until a rash develops.
Phone 999 for an ambulance or go to your nearest accident and emergency (A&E) department immediately if you think you or your child might be seriously ill.
Phone 111 or your GP practice for advice if you’re not sure if it’s anything serious or you think you may have been exposed to someone with meningitis.
Meningitis is usually caused by a bacterial or viral infection. Bacterial meningitis is rarer but more serious than viral meningitis.
Infections that cause meningitis can be spread through:

sneezing
coughing
kissing
sharing utensils, cutlery and toothbrushes

Meningitis is usually caught from people who carry these viruses or bacteria in their nose or throat but aren’t ill themselves.
It can also be caught from someone with meningitis, but this is less common.
Read more about the causes of meningitis
Vaccinations offer some protection against certain causes of meningitis.
These include the:

meningitis B vaccine – offered to babies aged 8 weeks, followed by a second dose at 16 weeks, and a booster at 1 year
6-in-1 vaccine – offered to babies at 8, 12 and 16 weeks of age
pneumococcal vaccine – offered to babies at 12 weeks and between 12 and 13 months old
meningitis C vaccine – offered at 12 weeks of age, 1 year
MMR vaccine – offered to babies at 1 year and a second dose at 3 years and 4 months
meningitis ACWY vaccine – offered to teenagers who are in S3 (around 14 years of age) at school. Young people who are in S4-S6 and missed the opportunity to get immunised last year, may also get the vaccine at school this year

Read more about the meningitis vaccinations
People with suspected meningitis will usually have tests in hospital to confirm the diagnosis and check whether the condition is the result of a viral or bacterial infection.
Bacterial meningitis usually needs to be treated in hospital for at least a week. Treatments include:

antibiotics given directly into a vein
fluids given directly into a vein
oxygen through a face mask

Viral meningitis tends to get better on its own within 7 to 10 days and can often be treated at home. Getting plenty of rest and taking painkillers and anti-sickness medication can help relieve the symptoms in the meantime.
Read more about how meningitis is treated
Viral meningitis will usually get better on its own and rarely causes any long-term problems.
Most people with bacterial meningitis who are treated quickly will also make a full recovery, although some are left with serious, long-term problems. These can include:

hearing loss or vision loss, which may be partial or total
problems with memory and concentration
recurrent seizures (epilepsy)
co-ordination, movement and balance problems
loss of limbs – amputation of affected limbs is sometimes necessary

Overall, it’s estimated that up to 1 in every 10 cases of bacterial meningitis is fatal.
Read more about the complications of meningitis"
Meniere’s disease,"The symptoms and severity of Ménière’s disease vary widely from person to person.
The main symptoms of Ménière’s disease are:

vertigo – the feeling that you, or the environment around you, is moving or spinning
tinnitus – hearing sounds from inside your body, rather than from an outside source
hearing loss, with a particular difficulty hearing deep or low sounds
a feeling of pressure or fullness deep inside the ear
feeling or being sick

Symptoms typically last around 2 to 3 hours. But it can take a day or two for the symptoms to disappear completely.
These symptoms usually only affect one ear at first, but both ears may become affected over time.
Other symptoms include:

sensitivity to sound (hyperacusis)
distorted sound

There’s no single test for Ménière’s disease. It can be difficult to distinguish from other conditions with similar symptoms.
Your GP will ask you to describe your symptoms to find out if there’s a pattern.
For Ménière’s disease to be diagnosed, you’ll have had:

at least 2 episodes of vertigo lasting 20 minutes or more within a single Ménière’s disease attack
tests that confirm that hearing loss is caused by damage to the sensitive hair cells inside the cochlea (the coiled tube in the inner ear)
tinnitus or a feeling of pressure in your ear

Your GP may also carry out a physical examination to rule out other possible causes of your symptoms.
If needed, your GP can refer you to an ear nose and throat (ENT) specialist for further tests.
Ménière’s disease cannot be cured, but treatment can usually help your symptoms.
Possible treatments include:

medicines to treat the symptoms and prevent attacks
changes to your eating habits, such as a low-salt diet
treatment for tinnitus
treatment for hearing loss
balance training (vestibular rehabilitation)
relaxation techniques
surgery – only rarely, in more severe cases

Some people with Ménière’s disease also find that it affects their mental health.
Speak to your GP practice if you’re finding it difficult to cope with the effect Ménière’s disease is having on your life. There are also support groups that can help you.
If you have vertigo, there are some safety issues to consider. For example:

you should tell your employer if your job involves operating machinery or climbing ladders
you may have a higher chance of falling – read about preventing falls for advice on reducing your risk

If you drive, you must tell the DVLA about your vertigo.
Get more information on driving with vertigo on GOV.UK
The exact cause of Ménière’s disease is unknown. It’s thought to be caused by a problem with pressure deep inside the ear.
Factors that can increase your risk of developing Ménière’s disease include:

a family history of the condition
a chemical imbalance in the fluid in your inner ear
"
Menopause,
Mesothelioma,"The symptoms of mesothelioma tend to develop gradually over time. They typically don’t appear until several decades after exposure to asbestos.
Symptoms of mesothelioma in the lining of the lungs include:

chest pain
shortness of breath
fatigue (extreme tiredness)
a high temperature (fever) and sweating, particularly at night
a persistent cough
loss of appetite and unexplained weight loss
clubbed (swollen) fingertips

Symptoms of mesothelioma in the lining of the tummy include:

tummy pain or swelling
feeling or being sick
loss of appetite and unexplained weight loss
diarrhoea or constipation

Speak to your GP if you have any persistent or worrying symptoms. Tell them about any exposure to asbestos you may have had in the past.
Mesothelioma is almost always caused by exposure to asbestos, a group of minerals made of microscopic fibres that used to be widely used in construction.
These tiny fibres can easily get in the lungs, where they get stuck, damaging the lungs over time. It usually takes a while for this to cause any obvious problems, with mesothelioma typically developing more than 20 years after exposure to asbestos.
The use of asbestos was completely banned in 1999, so the risk of exposure is much lower nowadays. However, materials containing asbestos are still found in many older buildings.
Read more about asbestos and people at risk of exposure and avoiding exposure to asbestos.
If your GP suspects mesothelioma, they will refer you to a hospital specialist for some tests.
A number of different tests may need to be carried out, including:

an X-ray of your chest or tummy
a computerised tomography (CT) scan – a number of X-ray images are taken to create a detailed image of the inside of the body
fluid drainage – if there’s a build-up of fluid around the lungs or in the tummy, a sample may be removed using a needle inserted through the skin so the fluid can be analysed
a thoracoscopy or laparoscopy – the inside of your chest or tummy is examined with a long, thin camera that’s inserted through a small cut (incision) under sedation or anaesthetic; a sample of tissue (biopsy) may be removed so it can be analysed

These tests can help diagnose mesothelioma and show how far it has spread.
The best treatment for mesothelioma depends on several factors, including how far the cancer has spread and your general health.
As mesothelioma is often diagnosed at an advanced stage, treatment is usually focused on controlling the symptoms and prolonging life for as long as possible. This is known as palliative or supportive care.
Possible treatments include:

chemotherapy – this is the main treatment for mesothelioma and involves using medicine to help shrink the cancer
radiotherapy – this involves using high-energy radiation to kill cancer cells and it may be used to slow the cancer down and keep it under control
surgery – an operation to remove the cancerous area can be done if mesothelioma is detected at a very early stage, although it’s not clear whether surgery is helpful

You’ll also probably have treatment for your individual symptoms to help you feel as comfortable as possible. For example, regularly draining fluid from your chest may help your breathing and strong painkillers may help relieve your pain.
Sometimes, a procedure is carried out to stop the fluid coming back again by making the outside of the lungs stick to the inside of your chest (pleurodesis), or a tube is put in your chest to drain the fluid regularly at home. Your doctors should discuss these treatments with you."
Middle ear infection (otitis media),"The main symptoms of a middle ear infection include:

earache
a high temperature (fever)
being sick
a lack of energy
slight hearing loss – if the middle ear becomes filled with fluid

In some cases, a hole may develop in the eardrum (perforated eardrum) and pus may run out of the ear. The earache, which is caused by the build-up of fluid stretching the eardrum, then resolves.
Young children and babies with an ear infection may also:

rub or pull their ear
not react to some sounds
be irritable or restless
be off their food
keep losing their balance

Most ear infections get better on their own within 3 to 5 days and do not need any specific treatment.
If needed, paracetamol or ibuprofen can be used to relieve pain and a high temperature. Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice.
Placing a warm cloth over the affected ear may also help relieve pain.
Antibiotics are not usually used to treat middle ear infections.
Most middle ear infections occur when an infection, such as a cold, leads to a build-up of mucus in the middle ear. This causes the Eustachian tube (a thin tube that runs from the middle ear to the back of the nose) to become swollen or blocked. The mucus can’t drain away properly, making it easier for an infection to spread into the middle ear.
An enlarged adenoid (soft tissue at the back of the throat) can also block the Eustachian tube. The adenoid can be removed if it often causes ear infections.
Middle ear infections are more common in younger children because:

the Eustachian tube is smaller in children than in adults
a child’s adenoids are relatively larger than an adults

Certain conditions can also increase the risk of middle ear infections, including:

having a cleft palate
having Down’s syndrome

It’s not possible to prevent middle ear infections. There are some things you can do that may reduce your child’s risk of developing one.
Children who go to nursery or school can pick up infections from other children who are unwell.
Complications of middle ear infections are fairly rare, but can be serious.
Most complications are the result of the infection spreading to another part of the ear or head. Rarely, infections can leave a perforation or hole in the eardrum.
If complications do develop, they often need to be treated immediately with antibiotics in hospital."
Migraine,"About 1 in 3 people with migraine have temporary warning symptoms, known as aura, before a migraine. These include:

visual problems – like seeing flashing lights, zig-zag patterns or blind spots
numbness or a tingling sensation like pins and needles – which usually starts in one hand and moves up your arm before affecting your face, lips and tongue
difficulty speaking

Sometimes, you might also experience:

feeling dizzy or off balance
loss of consciousness – although this is unusual

Aura symptoms typically develop over the course of about 5 minutes and last for up to an hour. The aura might start before the headache or you might experience it at the same time as a headache. Some people may experience aura followed by only a mild headache or no headache at all."
Miscarriage,"You might be having a late miscarriage if:

you’re bleeding from your vagina – this can be heavy and you might have blood clots
you’ve strong, cramping pains

Always get medical help if:

you’re bleeding
your baby’s movements have changed or you haven’t felt any movements for a while.
your waters break and your baby’s born very quickly

Contact your midwife or local maternity unit if you’re registered with them. If you’re not registered, contact your GP or phone the NHS 24 111 service.
If you’re later on in pregnancy:

you may be asked to go to the maternity ward
you’ll have some tests and usually an ultrasound scan
you’re likely to go through labour in hospital and might have your labour induced

While you deliver your baby you’re likely to have heavier bleeding and labour-like pains.
If you’re having a miscarriage, your doctor or midwife will:

talk to you about what will happen next
help you, and your partner if you have one, decide what you’d like to do

You may have many difficult decisions to make at this time and will have overwhelming emotions. Take your time. Your midwife or doctor can help, and there are many organisations that can support you, your baby’s father and your family.
Get support from SANDS
Get support from SiMBA
Depending on your circumstances and stage of pregnancy, your midwife or doctor may ask if you’d like to see or hold your baby.
Some parents decide they don’t want to see their baby, and others choose not to for faith or cultural reasons. This is a decision only you can make. It can be very hard when you’re feeling overwhelmed. Whatever you decide is okay.
If you’re worried about what your baby looks like, your midwife or doctor can describe them to help you decide.
You’ll probably have some bleeding for a week or two. If you continue to have symptoms after your miscarriage, it may mean that some of the pregnancy tissue’s still in your womb.
Some women may need medicine or a short operation to treat this.
If you’re worried about seeking treatment, maybe a friend can come with you. Having support’s really important at this difficult time.
Many women will want to take time off work after having a miscarriage.
If you have a miscarriage before the end of the 24th week, you’re entitled to:

take sick leave
any sick pay you’d normally qualify for

If you lose your baby after the end of the 24th week, you’re entitled to:

take maternity leave
any maternity pay you qualify for

Speak to your employer about which choices may be right for you and your family.
Working Families has more about your rights at work after a miscarriage
Most women go on to have a successful pregnancy and a healthy baby after a miscarriage. But unfortunately, some women have repeated miscarriages.
If you’ve had:

1 or 2 miscarriages – you’re not more likely than anyone else to have another one
3 or more miscarriages – your GP can refer you to a specialist to see whether there’s a specific cause
"
Motor neurone disease (MND),"The symptoms of MND start gradually over weeks and months. They tend to appear on one side of the body first and get progressively worse.
There are usually 3 stages of symptoms.
Sometimes the early symptoms are mistaken for similar conditions that also affect the nervous system.
As MND becomes more advanced, more parts and functions of the body are affected. This can make you more likely to experience infections, like chest infections, which can cause your condition to get worse quicker.
As MND progresses to its final phase, you might experience:

increasing body paralysis, which means you’ll need help with most daily activities
significant shortness of breath

Eventually, non-invasive breathing assistance won’t be enough to make up for the loss of normal lung function. At this stage, more medication can help to reduce symptoms of breathlessness and anxiety related to it. Most people with MND become increasingly drowsy before falling into a deep sleep, where they usually die peacefully.
Some people with MND have other symptoms that aren’t directly caused by the condition, but are related to the stress of living with it. These might include depression, insomnia and anxiety."
Mouth cancer,"Mouth cancer can develop on most parts of the mouth, including the lips, gums and occasionally, the throat.
The most common symptoms of mouth cancer include:

red or white patches in the mouth or throat
a lump
ulcers

Other symptoms may include:

persistent pain in the mouth
pain or difficulty when swallowing (dysphagia)
changes in your voice, or speech problems
swollen lymph nodes (glands) in your neck
unexplained weight loss
bleeding or numbness in the mouth
a tooth, or teeth, that becomes loose for no obvious reason
difficulty moving your jaw

Many of these symptoms can be caused by less serious conditions, such as minor infections.
But it’s strongly recommended that you visit your GP if any of these symptoms have lasted for more than 3 weeks. It’s especially important to seek medical advice if you’re a heavy drinker or smoker.
Mouth cancer tends not to cause any noticeable symptoms during the initial stages of the disease.
This is why it’s important to have regular dental check-ups, particularly if you are a smoker, a heavy drinker or a betel chewer, because a dentist may often be able to detect the condition during an examination.
You should have a dental check-up at least every year. However, more frequent check-ups may be recommended if you have a history of tooth decay or gum disease."
Mouth ulcer,
Multiple myeloma,"In the early stages, multiple myeloma may not cause any symptoms or complications, and may only be diagnosed after a routine blood or urine test.
However, it will eventually cause a wide range of problems.
Multiple myeloma can cause pain in affected bones, most often the back, ribs or hips. The pain is frequently a persistent dull ache, which may be made worse by movement.
Multiple myeloma can weaken the bones and make them more likely to break (fracture). The spine and ribs are most often affected.
Fractures of the spine can cause the sections of the spine to collapse, leading to pain and occasionally compression of the spinal cord (the main column of nerves running down the back).
Compression of the spinal cord can cause pins and needles, numbness and weakness in the legs and feet, and sometimes problems controlling your bladder and bowels.
Multiple myeloma can affect the production of blood cells in our bone marrow, which can lead to a lack of red blood cells (anaemia). This can also occur as a side effect of myeloma treatment.
If you have anaemia, you may feel very tired, weak and breathless.
People with multiple myeloma are particularly vulnerable to infection because the condition interferes with the immune system (the body’s natural defence against infection and illness).
You may find you get infections frequently and that they last for a long time.
A high level of calcium in the blood (hypercalcaemia) can develop in people with multiple myeloma because too much calcium is released from affected bones into the bloodstream.
Symptoms of hypercalcaemia can include extreme thirst, feeling sick, needing to urinate frequently, constipation, confusion and drowsiness.
Bruising and unusual bleeding (haemorrhage) – such as frequent nosebleeds, bleeding gums and heavy periods – sometimes occurs in multiple myeloma because the cancer cells in your bone marrow can stop blood clotting cells called platelets being made.
In some people, multiple myeloma can cause the blood to become thicker than normal. This is known as hyperviscosity, which can cause problems such as blurred vision, headaches, dizziness, bleeding from the gums or nose, and shortness of breath.
Kidney damage can occur in people with multiple myeloma for several reasons. Abnormal proteins produced by the cancer cells can damage the kidneys, as can other complications, such as hypercalcaemia. Some medications used to treat multiple myeloma can also cause kidney damage.
Eventually, the kidneys may stop working properly. This is known as kidney or renal impairment, or kidney or renal failure. Signs of kidney failure can include:

weight loss and poor appetite
swollen ankles, feet or hands
tiredness and a lack of energy
shortness of breath
itchy skin
feeling sick

You should speak to your GP if you have symptoms of multiple myeloma. While they’re unlikely to be caused by cancer, it’s best to be sure by getting a proper diagnosis.
You should seek immediate medical help if you have symptoms of spinal cord compression, hypercalcaemia or kidney failure, as these are medical emergencies that need to be investigated and treated as soon as possible.
Read more about diagnosing multiple myeloma and treating multiple myeloma"
